ED_1	Name	Type	Level	Position	Volume [ul]	Instrument Method
None	STD0_HClO4	Unknown		BA1	25.0	MS_Catechol_Iso_25C_Vial
None	STD1_100	Unknown		BA2	25.0	MS_Catechol_Iso_25C_Vial
None	STD2_50	Unknown		BA3	25.0	MS_Catechol_Iso_25C_Vial
None	STD3_25	Unknown		BA4	25.0	MS_Catechol_Iso_25C_Vial
None	STD4_12.5	Unknown		BA5	25.0	MS_Catechol_Iso_25C_Vial
None	STD5_6.25	Unknown		BA6	25.0	MS_Catechol_Iso_25C_Vial
None	S00001.R1.T0.TR1	Unknown		RA1	25.0	MS_Catechol_Iso_25C_96W
None	S00001.R1.T0.TR2	Unknown		RA1	25.0	MS_Catechol_Iso_25C_96W
None	S00001.R1.T12.TR1	Unknown		RB1	25.0	MS_Catechol_Iso_25C_96W
None	S00001.R1.T12.TR2	Unknown		RB1	25.0	MS_Catechol_Iso_25C_96W
None	S00001.R1.T24.TR1	Unknown		RC1	25.0	MS_Catechol_Iso_25C_96W
None	S00001.R1.T24.TR2	Unknown		RC1	25.0	MS_Catechol_Iso_25C_96W
None	S00002.R1.T0.TR1	Unknown		RA2	25.0	MS_Catechol_Iso_25C_96W
None	S00002.R1.T0.TR2	Unknown		RA2	25.0	MS_Catechol_Iso_25C_96W
None	S00002.R1.T12.TR1	Unknown		RB2	25.0	MS_Catechol_Iso_25C_96W
None	S00002.R1.T12.TR2	Unknown		RB2	25.0	MS_Catechol_Iso_25C_96W
None	S00002.R1.T24.TR1	Unknown		RC2	25.0	MS_Catechol_Iso_25C_96W
None	S00002.R1.T24.TR2	Unknown		RC2	25.0	MS_Catechol_Iso_25C_96W
None	S00003.R1.T0.TR1	Unknown		RA3	25.0	MS_Catechol_Iso_25C_96W
None	S00003.R1.T0.TR2	Unknown		RA3	25.0	MS_Catechol_Iso_25C_96W
None	S00003.R1.T12.TR1	Unknown		RB3	25.0	MS_Catechol_Iso_25C_96W
None	S00003.R1.T12.TR2	Unknown		RB3	25.0	MS_Catechol_Iso_25C_96W
None	S00003.R1.T24.TR1	Unknown		RC3	25.0	MS_Catechol_Iso_25C_96W
None	S00003.R1.T24.TR2	Unknown		RC3	25.0	MS_Catechol_Iso_25C_96W
None	S00004.R1.T0.TR1	Unknown		RA4	25.0	MS_Catechol_Iso_25C_96W
None	S00004.R1.T0.TR2	Unknown		RA4	25.0	MS_Catechol_Iso_25C_96W
None	S00004.R1.T12.TR1	Unknown		RB4	25.0	MS_Catechol_Iso_25C_96W
None	S00004.R1.T12.TR2	Unknown		RB4	25.0	MS_Catechol_Iso_25C_96W
None	S00004.R1.T24.TR1	Unknown		RC4	25.0	MS_Catechol_Iso_25C_96W
None	S00004.R1.T24.TR2	Unknown		RC4	25.0	MS_Catechol_Iso_25C_96W
None	S00005.R1.T0.TR1	Unknown		RA5	25.0	MS_Catechol_Iso_25C_96W
None	S00005.R1.T0.TR2	Unknown		RA5	25.0	MS_Catechol_Iso_25C_96W
None	S00005.R1.T12.TR1	Unknown		RB5	25.0	MS_Catechol_Iso_25C_96W
None	S00005.R1.T12.TR2	Unknown		RB5	25.0	MS_Catechol_Iso_25C_96W
None	S00005.R1.T24.TR1	Unknown		RC5	25.0	MS_Catechol_Iso_25C_96W
None	S00005.R1.T24.TR2	Unknown		RC5	25.0	MS_Catechol_Iso_25C_96W
None	S00006.R1.T0.TR1	Unknown		RA6	25.0	MS_Catechol_Iso_25C_96W
None	S00006.R1.T0.TR2	Unknown		RA6	25.0	MS_Catechol_Iso_25C_96W
None	S00006.R1.T12.TR1	Unknown		RB6	25.0	MS_Catechol_Iso_25C_96W
None	S00006.R1.T12.TR2	Unknown		RB6	25.0	MS_Catechol_Iso_25C_96W
None	S00006.R1.T24.TR1	Unknown		RC6	25.0	MS_Catechol_Iso_25C_96W
